group,aug,arch,short-exp-name,exp-name,,msmarco,trec-covid,bioasq,nfcorpus,nq,hotpotqa,fiqa,signal1m,trec-news,arguana,webis-touche2020,dbpedia-entity,scidocs,fever,climate-fever,scifact,robust04,quora,cqadupstack,msmarco%,trec-covid%,bioasq%,nfcorpus%,nq%,hotpotqa%,fiqa%,signal1m%,trec-news%,arguana%,webis-touche2020%,dbpedia-entity%,scidocs%,fever%,climate-fever%,scifact%,robust04%,quora%,cqadupstack%,msmarco±,trec-covid±,bioasq±,nfcorpus±,nq±,hotpotqa±,fiqa±,signal1m±,trec-news±,arguana±,webis-touche2020±,dbpedia-entity±,scidocs±,fever±,climate-fever±,scifact±,robust04±,quora±,cqadupstack±
TQGen-Title,TQGen-title+RC,MoCo,MoCo-TQGenTitle,wiki_T03b_title50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.216,0.645,0.000,0.278,0.299,0.521,0.203,0.000,0.000,0.377,0.237,0.287,0.136,0.569,0.178,0.634,0.000,0.777,0.251,0.05,1.35,#DIV/0!,-0.12,0.18,0.08,-0.17,#DIV/0!,#DIV/0!,-0.01,0.42,-0.02,-0.09,-0.17,0.15,-0.02,#DIV/0!,-0.07,-0.12,0.010,0.370,0.000,-0.040,0.045,0.040,-0.042,0.000,0.000,-0.002,0.070,-0.005,-0.013,-0.114,0.023,-0.016,0.000,-0.058,-0.033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-AbSum,TQGen-absum,Inbatch,Inbatch-TQGenAbSum,wiki.T03b_absum.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.174,0.512,0.000,0.277,0.272,0.468,0.208,0.000,0.000,0.353,0.155,0.265,0.141,0.640,0.161,0.605,0.000,0.778,0.253,-0.15,0.86,#DIV/0!,-0.13,0.07,-0.03,-0.15,#DIV/0!,#DIV/0!,-0.07,-0.07,-0.09,-0.05,-0.06,0.04,-0.07,#DIV/0!,-0.07,-0.11,-0.031,0.237,0.000,-0.040,0.018,-0.013,-0.037,0.000,0.000,-0.026,-0.012,-0.027,-0.008,-0.042,0.006,-0.044,0.000,-0.057,-0.031
TQGen-AbSum,TQGen-absum+RC,Inbatch,Inbatch-TQGenAbSum,wiki_T03b_absum50.seed477.inbatch.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.170,0.401,0.000,0.262,0.256,0.417,0.187,0.000,0.000,0.407,0.131,0.245,0.137,0.535,0.152,0.606,0.000,0.773,0.250,-0.17,0.46,#DIV/0!,-0.17,0.01,-0.13,-0.24,#DIV/0!,#DIV/0!,0.07,-0.22,-0.16,-0.08,-0.22,-0.02,-0.07,#DIV/0!,-0.07,-0.12,-0.036,0.126,0.000,-0.055,0.002,-0.064,-0.058,0.000,0.000,0.027,-0.036,-0.046,-0.012,-0.147,-0.003,-0.044,0.000,-0.062,-0.034
TQGen-AbSum,TQGen-absum,MoCo,MoCo-TQGenAbSum,wiki.T03b_absum.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.212,0.533,0.000,0.253,0.259,0.456,0.173,0.000,0.000,0.412,0.157,0.247,0.136,0.405,0.157,0.598,0.000,0.710,0.212,0.03,0.94,#DIV/0!,-0.20,0.02,-0.05,-0.29,#DIV/0!,#DIV/0!,0.09,-0.06,-0.15,-0.09,-0.41,0.01,-0.08,#DIV/0!,-0.15,-0.25,0.007,0.259,0.000,-0.064,0.006,-0.025,-0.072,0.000,0.000,0.033,-0.010,-0.045,-0.013,-0.277,0.002,-0.051,0.000,-0.125,-0.072
TQGen-AbSum,TQGen-absum+RC,MoCo,MoCo-TQGenAbSum,wiki_T03b_absum50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.212,0.613,0.000,0.255,0.310,0.522,0.197,0.000,0.000,0.382,0.201,0.274,0.134,0.560,0.191,0.615,0.000,0.730,0.224,0.03,1.23,#DIV/0!,-0.19,0.22,0.09,-0.20,#DIV/0!,#DIV/0!,0.01,0.21,-0.06,-0.10,-0.18,0.23,-0.05,#DIV/0!,-0.13,-0.21,0.007,0.338,0.000,-0.062,0.056,0.042,-0.048,0.000,0.000,0.003,0.035,-0.018,-0.015,-0.122,0.036,-0.034,0.000,-0.106,-0.060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-ExSum,TQGen-exsum,Inbatch,Inbatch-TQGenExSum,wiki.T03b_exsum.seed477.inbatch.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.182,0.464,0.000,0.279,0.307,0.467,0.209,0.000,0.000,0.343,0.138,0.273,0.140,0.678,0.164,0.618,0.000,0.794,0.266,-0.11,0.69,#DIV/0!,-0.12,0.21,-0.03,-0.14,#DIV/0!,#DIV/0!,-0.10,-0.17,-0.06,-0.06,-0.01,0.06,-0.05,#DIV/0!,-0.05,-0.06,-0.023,0.190,0.000,-0.038,0.053,-0.014,-0.035,0.000,0.000,-0.037,-0.029,-0.019,-0.009,-0.004,0.009,-0.031,0.000,-0.041,-0.018
TQGen-ExSum,TQGen-exsum+RC,Inbatch,Inbatch-TQGenExSum,wiki_T03b_exsum50.seed77.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.176,0.380,0.000,0.265,0.261,0.391,0.201,0.000,0.000,0.400,0.130,0.250,0.133,0.539,0.137,0.609,0.000,0.792,0.256,-0.14,0.38,#DIV/0!,-0.17,0.03,-0.19,-0.18,#DIV/0!,#DIV/0!,0.06,-0.22,-0.14,-0.10,-0.21,-0.12,-0.06,#DIV/0!,-0.05,-0.10,-0.029,0.105,0.000,-0.053,0.007,-0.090,-0.044,0.000,0.000,0.021,-0.037,-0.042,-0.016,-0.143,-0.018,-0.041,0.000,-0.043,-0.028
TQGen-ExSum,TQGen-exsum,MoCo,MoCo-TQGenExSum,wiki.T03b_exsum.seed477.moco-2e14.contriever256.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.228,0.608,0.000,0.267,0.311,0.519,0.187,0.000,0.000,0.365,0.162,0.285,0.136,0.479,0.158,0.645,0.000,0.736,0.232,0.11,1.21,#DIV/0!,-0.16,0.22,0.08,-0.24,#DIV/0!,#DIV/0!,-0.04,-0.03,-0.02,-0.09,-0.30,0.02,-0.01,#DIV/0!,-0.12,-0.18,0.023,0.333,0.000,-0.050,0.057,0.038,-0.058,0.000,0.000,-0.014,-0.004,-0.007,-0.013,-0.204,0.003,-0.005,0.000,-0.099,-0.052
TQGen-ExSum,TQGen-exsum+RC,MoCo,MoCo-TQGenExSum,wiki_T03b_exsum50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.225,0.579,0.000,0.270,0.326,0.549,0.194,0.000,0.000,0.399,0.176,0.304,0.134,0.576,0.175,0.627,0.000,0.750,0.243,0.09,1.11,#DIV/0!,-0.15,0.28,0.14,-0.21,#DIV/0!,#DIV/0!,0.05,0.05,0.04,-0.10,-0.16,0.13,-0.03,#DIV/0!,-0.10,-0.14,0.019,0.304,0.000,-0.047,0.072,0.068,-0.051,0.000,0.000,0.019,0.009,0.013,-0.015,-0.106,0.020,-0.023,0.000,-0.085,-0.041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-D2Q(Wiki),QGen-d2q,Inbatch,Inbatch-QGenD2Q,wiki.doc2query-t2q.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.254,0.583,0.000,0.261,0.398,0.553,0.236,0.000,0.000,0.289,0.172,0.310,0.117,0.679,0.217,0.592,0.000,0.777,0.204,0.23,1.12,#DIV/0!,-0.18,0.57,0.15,-0.04,#DIV/0!,#DIV/0!,-0.24,0.03,0.06,-0.21,0.00,0.40,-0.09,#DIV/0!,-0.07,-0.28,0.048,0.309,0.000,-0.056,0.145,0.072,-0.009,0.000,0.000,-0.090,0.006,0.018,-0.032,-0.003,0.062,-0.058,0.000,-0.058,-0.080
QGen-D2Q(Wiki),QGen-d2q+RC,Inbatch,Inbatch-QGenD2Q,wiki_doc2query50.seed477.inbatch.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.235,0.531,0.000,0.227,0.396,0.545,0.225,0.000,0.000,0.410,0.147,0.273,0.109,0.440,0.131,0.600,0.000,0.629,0.228,0.14,0.93,#DIV/0!,-0.28,0.56,0.13,-0.08,#DIV/0!,#DIV/0!,0.08,-0.12,-0.06,-0.27,-0.36,-0.16,-0.08,#DIV/0!,-0.25,-0.20,0.029,0.257,0.000,-0.090,0.143,0.065,-0.020,0.000,0.000,0.030,-0.020,-0.019,-0.040,-0.243,-0.024,-0.049,0.000,-0.206,-0.056
QGen-D2Q(Wiki),QGen-d2q,MoCo,MoCo-QGenD2Q,wiki.doc2query-t2q.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.163,0.425,0.000,0.197,0.198,0.380,0.123,0.000,0.000,0.325,0.083,0.251,0.097,0.266,0.109,0.464,0.000,0.753,0.177,-0.21,0.55,#DIV/0!,-0.38,-0.22,-0.21,-0.50,#DIV/0!,#DIV/0!,-0.14,-0.50,-0.14,-0.35,-0.61,-0.30,-0.29,#DIV/0!,-0.10,-0.38,-0.043,0.150,0.000,-0.120,-0.056,-0.101,-0.122,0.000,0.000,-0.054,-0.084,-0.041,-0.052,-0.417,-0.046,-0.185,0.000,-0.082,-0.107
QGen-D2Q(Wiki),QGen-d2q+RC,MoCo,MoCo-QGenD2Q,wiki_doc2query50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.237,0.649,0.000,0.262,0.359,0.553,0.221,0.000,0.000,0.368,0.211,0.281,0.128,0.503,0.179,0.623,0.000,0.799,0.254,0.15,1.36,#DIV/0!,-0.17,0.41,0.15,-0.10,#DIV/0!,#DIV/0!,-0.03,0.26,-0.04,-0.14,-0.26,0.16,-0.04,#DIV/0!,-0.04,-0.11,0.031,0.374,0.000,-0.055,0.105,0.072,-0.024,0.000,0.000,-0.012,0.044,-0.010,-0.021,-0.180,0.024,-0.027,0.000,-0.036,-0.030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-PAQ,QGen-paq,Inbatch,Inbatch-QGenPAQ,paq-cropdoc.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.223,0.493,0.000,0.193,0.426,0.559,0.164,0.000,0.000,0.020,0.128,0.241,0.103,0.422,0.105,0.550,0.000,0.740,0.201,0.09,0.80,#DIV/0!,-0.39,0.68,0.16,-0.33,#DIV/0!,#DIV/0!,-0.95,-0.23,-0.17,-0.31,-0.38,-0.32,-0.15,#DIV/0!,-0.11,-0.29,0.018,0.218,0.000,-0.124,0.172,0.078,-0.081,0.000,0.000,-0.360,-0.039,-0.050,-0.047,-0.260,-0.050,-0.099,0.000,-0.095,-0.083
QGen-PAQ,QGen-paq+RC,Inbatch,Inbatch-QGenPAQ,paq-cropdoc.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.191,0.259,0.000,0.250,0.260,0.468,0.152,0.000,0.000,0.395,0.126,0.267,0.111,0.350,0.108,0.529,0.000,0.811,0.199,-0.07,-0.06,#DIV/0!,-0.21,0.02,-0.03,-0.38,#DIV/0!,#DIV/0!,0.04,-0.24,-0.08,-0.25,-0.49,-0.30,-0.19,#DIV/0!,-0.03,-0.30,-0.015,-0.016,0.000,-0.067,0.006,-0.013,-0.093,0.000,0.000,0.015,-0.041,-0.024,-0.038,-0.332,-0.047,-0.120,0.000,-0.024,-0.085
QGen-PAQ,QGen-paq,MoCo,MoCo-QGenPAQ,paq50.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.214,0.372,0.000,0.249,0.366,0.523,0.164,0.000,0.000,0.104,0.165,0.288,0.102,0.455,0.088,0.597,0.000,0.749,0.237,0.04,0.35,#DIV/0!,-0.22,0.44,0.09,-0.33,#DIV/0!,#DIV/0!,-0.73,-0.01,-0.01,-0.31,-0.33,-0.43,-0.08,#DIV/0!,-0.10,-0.17,0.009,0.097,0.000,-0.068,0.112,0.042,-0.081,0.000,0.000,-0.276,-0.002,-0.004,-0.047,-0.228,-0.067,-0.053,0.000,-0.086,-0.047
QGen-PAQ,QGen-paq+RC,MoCo,MoCo-QGenPAQ,paq50.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.226,0.284,0.000,0.231,0.267,0.498,0.147,0.000,0.000,0.320,0.107,0.266,0.097,0.314,0.057,0.539,0.000,0.823,0.237,0.10,0.03,#DIV/0!,-0.27,0.05,0.04,-0.40,#DIV/0!,#DIV/0!,-0.16,-0.36,-0.09,-0.35,-0.54,-0.63,-0.17,#DIV/0!,-0.01,-0.17,0.020,0.009,0.000,-0.086,0.013,0.017,-0.098,0.000,0.000,-0.059,-0.060,-0.025,-0.052,-0.369,-0.098,-0.110,0.000,-0.012,-0.047
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM25,,,,BM25 (BEIR reported),ndcg@10,0.228,0.656,0.000,0.325,0.329,0.603,0.236,0.000,0.000,0.315,0.367,0.313,0.158,0.753,0.213,0.665,0.000,0.789,0.299,0.11,1.39,#DIV/0!,0.02,0.30,0.25,-0.04,#DIV/0!,#DIV/0!,-0.17,1.20,0.07,0.06,0.10,0.37,0.02,#DIV/0!,-0.06,0.05,0.022,0.381,0.000,0.008,0.075,0.122,-0.009,0.000,0.000,-0.064,0.200,0.021,0.009,0.071,0.058,0.016,0.000,-0.046,0.015
contriever,,,,fb-contriever.dot (BEIR changed Tóuche2020 dataset),ndcg@10,0.206,0.275,0.000,0.317,0.254,0.481,0.245,0.000,0.000,0.379,0.167,0.292,0.149,0.682,0.155,0.649,0.000,0.835,0.284,0.00,0.00,#DIV/0!,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#DIV/0!,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomCrop(CC),RC,Inbatch,Inbatch-RandomCrop(CC),cc.inbatch.contriever256.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.163,0.287,0.000,0.208,0.155,0.344,0.152,0.000,0.000,0.439,0.046,0.205,0.096,0.226,0.079,0.567,0.000,0.814,0.223,-0.21,0.04,#DIV/0!,-0.35,-0.39,-0.29,-0.38,#DIV/0!,#DIV/0!,0.16,-0.72,-0.30,-0.36,-0.67,-0.49,-0.13,#DIV/0!,-0.02,-0.21,-0.043,0.012,0.000,-0.110,-0.099,-0.137,-0.093,0.000,0.000,0.059,-0.121,-0.086,-0.053,-0.456,-0.076,-0.083,0.000,-0.021,-0.061
RandomCrop(CC),RC,MoCo,MoCo-RandomCrop(CC),cc.moco-2e14.contriever256.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.192,0.395,0.000,0.280,0.223,0.430,0.212,0.000,0.000,0.381,0.126,0.222,0.138,0.481,0.146,0.635,0.000,0.818,0.271,-0.07,0.44,#DIV/0!,-0.12,-0.12,-0.10,-0.14,#DIV/0!,#DIV/0!,0.00,-0.25,-0.24,-0.07,-0.29,-0.06,-0.02,#DIV/0!,-0.02,-0.05,-0.014,0.121,0.000,-0.037,-0.030,-0.050,-0.033,0.000,0.000,0.002,-0.041,-0.069,-0.011,-0.201,-0.009,-0.014,0.000,-0.017,-0.013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Title(CC),Doc-Title,Inbatch,Inbatch-Doc-Title(CC),cc.inbatch.contriever256-Qtitle.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.197,0.351,0.000,0.276,0.272,0.445,0.221,0.000,0.000,0.246,0.098,0.303,0.142,0.564,0.120,0.594,0.000,0.797,0.224,-0.04,0.28,#DIV/0!,-0.13,0.07,-0.07,-0.10,#DIV/0!,#DIV/0!,-0.35,-0.41,0.04,-0.04,-0.17,-0.23,-0.09,#DIV/0!,-0.05,-0.21,-0.009,0.076,0.000,-0.041,0.018,-0.035,-0.024,0.000,0.000,-0.133,-0.069,0.012,-0.007,-0.119,-0.035,-0.056,0.000,-0.038,-0.060
Doc-Title(CC),Doc-Title+RC,MoCo,MoCo-Doc-Title(CC),cc.moco-2e14.contriever256-Qtitle50.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.218,0.553,0.000,0.297,0.289,0.512,0.253,0.000,0.000,0.379,0.184,0.310,0.158,0.591,0.171,0.635,0.000,0.813,0.280,0.06,1.01,#DIV/0!,-0.06,0.14,0.07,0.03,#DIV/0!,#DIV/0!,0.00,0.10,0.06,0.06,-0.13,0.11,-0.02,#DIV/0!,-0.03,-0.01,0.012,0.278,0.000,-0.020,0.036,0.032,0.008,0.000,0.000,-0.001,0.017,0.018,0.009,-0.091,0.016,-0.015,0.000,-0.022,-0.004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-BM25(CC),QExt-BM25,Inbatch,Inbatch-QExt-BM25(CC),cc.ExtQ-bm25-chunk16.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.163,0.272,0.000,0.216,0.171,0.343,0.166,0.000,0.000,0.405,0.053,0.201,0.103,0.260,0.081,0.564,0.000,0.814,0.242,-0.21,-0.01,#DIV/0!,-0.32,-0.32,-0.29,-0.32,#DIV/0!,#DIV/0!,0.07,-0.68,-0.31,-0.31,-0.62,-0.48,-0.13,#DIV/0!,-0.03,-0.15,-0.043,-0.003,0.000,-0.101,-0.082,-0.138,-0.079,0.000,0.000,0.026,-0.114,-0.091,-0.046,-0.422,-0.074,-0.085,0.000,-0.021,-0.042
QExt-BM25(CC),QExt-BM25+RC,MoCo,MoCo-QExt-BM25(CC),cc.ExtQ50-bm25-chunk16.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.202,0.468,0.000,0.284,0.243,0.475,0.226,0.000,0.000,0.372,0.133,0.252,0.146,0.530,0.161,0.630,0.000,0.827,0.270,-0.02,0.70,#DIV/0!,-0.11,-0.04,-0.01,-0.08,#DIV/0!,#DIV/0!,-0.02,-0.20,-0.14,-0.02,-0.22,0.04,-0.03,#DIV/0!,-0.01,-0.05,-0.003,0.193,0.000,-0.034,-0.011,-0.005,-0.019,0.000,0.000,-0.007,-0.034,-0.039,-0.003,-0.153,0.006,-0.020,0.000,-0.008,-0.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-PLM(CC),QExt-PLM,Inbatch,Inbatch-QExt-PLM(CC),cc.ExtQ-plm-chunk16.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.162,0.279,0.000,0.214,0.159,0.339,0.151,0.000,0.000,0.440,0.047,0.197,0.095,0.228,0.074,0.549,0.000,0.815,0.224,-0.21,0.02,#DIV/0!,-0.32,-0.37,-0.29,-0.38,#DIV/0!,#DIV/0!,0.16,-0.72,-0.32,-0.36,-0.67,-0.52,-0.15,#DIV/0!,-0.02,-0.21,-0.044,0.004,0.000,-0.103,-0.095,-0.141,-0.094,0.000,0.000,0.061,-0.120,-0.095,-0.054,-0.454,-0.081,-0.100,0.000,-0.020,-0.060
QExt-PLM(CC),QExt-PLM+RC,MoCo,MoCo-QExt-PLM(CC),cc.ExtQ50-plm-chunk16.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.206,0.536,0.000,0.303,0.272,0.479,0.223,0.000,0.000,0.391,0.190,0.290,0.147,0.597,0.177,0.645,0.000,0.827,0.271,0.00,0.95,#DIV/0!,-0.04,0.07,0.00,-0.09,#DIV/0!,#DIV/0!,0.03,0.14,-0.01,-0.01,-0.13,0.14,-0.01,#DIV/0!,-0.01,-0.05,0.000,0.261,0.000,-0.014,0.018,-0.002,-0.022,0.000,0.000,0.012,0.023,-0.002,-0.002,-0.085,0.022,-0.005,0.000,-0.008,-0.013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic(CC),TQGen-Topic,Inbatch,Inbatch-TQGen-Topic(CC),cc.T03b_topic.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.207,0.582,0.000,0.341,0.276,0.494,0.281,0.000,0.000,0.367,0.186,0.312,0.160,0.639,0.121,0.618,0.000,0.785,0.303,0.00,1.12,#DIV/0!,0.08,0.09,0.03,0.15,#DIV/0!,#DIV/0!,-0.03,0.11,0.07,0.07,-0.06,-0.22,-0.05,#DIV/0!,-0.06,0.07,0.001,0.308,0.000,0.024,0.022,0.014,0.036,0.000,0.000,-0.013,0.019,0.020,0.011,-0.043,-0.034,-0.031,0.000,-0.050,0.019
TQGen-Topic(CC),TQGen-Topic+RC,MoCo,MoCo-TQGen-Topic(CC),cc.T03b_topic50.moco-2e14.contriever256-special50.bert-base-uncased.avg.dot.qd128.step100k.bs1024.lr5e5,ndcg@10,0.212,0.616,0.000,0.307,0.274,0.517,0.247,0.000,0.000,0.400,0.173,0.307,0.158,0.596,0.147,0.648,0.000,0.779,0.279,0.03,1.24,#DIV/0!,-0.03,0.08,0.07,0.01,#DIV/0!,#DIV/0!,0.05,0.04,0.05,0.06,-0.13,-0.05,0.00,#DIV/0!,-0.07,-0.02,0.006,0.341,0.000,-0.010,0.021,0.036,0.002,0.000,0.000,0.020,0.006,0.016,0.009,-0.086,-0.008,-0.001,0.000,-0.056,-0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title(CC),TQGen-Title,Inbatch,Inbatch-TQGen-Title(CC),cc.T03b_title.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.200,0.465,0.000,0.321,0.289,0.496,0.270,0.000,0.000,0.329,0.143,0.309,0.164,0.642,0.141,0.627,0.000,0.801,0.296,-0.03,0.69,#DIV/0!,0.01,0.14,0.03,0.10,#DIV/0!,#DIV/0!,-0.13,-0.14,0.06,0.10,-0.06,-0.09,-0.03,#DIV/0!,-0.04,0.04,-0.005,0.190,0.000,0.003,0.035,0.016,0.025,0.000,0.000,-0.051,-0.024,0.017,0.014,-0.040,-0.014,-0.022,0.000,-0.034,0.012
TQGen-Title(CC),TQGen-Title+RC,MoCo,MoCo-TQGen-Title(CC),cc.T03b_title50.moco-2e14.contriever256-special50.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.218,0.600,0.000,0.310,0.290,0.518,0.263,0.000,0.000,0.393,0.170,0.300,0.158,0.607,0.161,0.650,0.000,0.794,0.287,0.06,1.18,#DIV/0!,-0.02,0.14,0.08,0.07,#DIV/0!,#DIV/0!,0.04,0.02,0.03,0.06,-0.11,0.04,0.00,#DIV/0!,-0.05,0.01,0.013,0.325,0.000,-0.007,0.037,0.037,0.018,0.000,0.000,0.014,0.003,0.008,0.009,-0.076,0.006,0.000,0.000,-0.041,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-AbSum(CC),TQGen-AbSum,Inbatch,Inbatch-TQGen-Absum(CC),cc.T03b_absum.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.181,0.398,0.000,0.295,0.267,0.455,0.257,0.000,0.000,0.335,0.136,0.300,0.156,0.541,0.129,0.600,0.000,0.796,0.282,-0.12,0.45,#DIV/0!,-0.07,0.05,-0.05,0.05,#DIV/0!,#DIV/0!,-0.12,-0.19,0.03,0.05,-0.21,-0.17,-0.08,#DIV/0!,-0.05,-0.01,-0.024,0.123,0.000,-0.023,0.013,-0.025,0.012,0.000,0.000,-0.044,-0.031,0.009,0.007,-0.141,-0.026,-0.050,0.000,-0.039,-0.002
TQGen-AbSum(CC),TQGen-AbSum+RC,MoCo,MoCo-TQGen-Absum(CC),cc.T03b_absum50.moco-2e14.contriever256-special50.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.233,0.527,0.000,0.299,0.298,0.540,0.268,0.000,0.000,0.387,0.202,0.311,0.166,0.636,0.178,0.656,0.000,0.781,0.293,0.13,0.92,#DIV/0!,-0.06,0.18,0.12,0.09,#DIV/0!,#DIV/0!,0.02,0.21,0.07,0.12,-0.07,0.15,0.01,#DIV/0!,-0.06,0.03,0.027,0.253,0.000,-0.018,0.045,0.059,0.023,0.000,0.000,0.007,0.035,0.019,0.017,-0.046,0.023,0.006,0.000,-0.054,0.009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-ExSum(CC),TQGen-ExSum,Inbatch,Inbatch-TQGen-Exsum(CC),cc.T03b_exsum.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.189,0.405,0.000,0.304,0.274,0.467,0.269,0.000,0.000,0.343,0.139,0.313,0.151,0.559,0.134,0.622,0.000,0.806,0.291,-0.08,0.48,#DIV/0!,-0.04,0.08,-0.03,0.10,#DIV/0!,#DIV/0!,-0.10,-0.16,0.07,0.01,-0.18,-0.14,-0.04,#DIV/0!,-0.03,0.03,-0.017,0.131,0.000,-0.013,0.020,-0.014,0.024,0.000,0.000,-0.037,-0.027,0.021,0.002,-0.123,-0.021,-0.028,0.000,-0.029,0.007
